 标题,回答,用户名,简介,用户主页,评论数,赞同数
如何系统地自学 Python？,基于这个笔记的实体书了解一下？书名叫《自学Python——编程基础科学计算及数据分析》，将笔记的内容进行了系统整理，并补充了一些基础知识，可以对照两边的目录看差异。基于2.7。京东有自营。Python 其实挺简单的，也挺强大的。我用 Python 做科学计算，自…,知乎用户,,https://www.zhihu.com/people//activities,378,15203
三天搞定Python,"知乎的各位朋友不好意思，前段时间因为给本科生带了一个Python的培训课程，每天弄得很累，所以没时间前来更新。也很感谢和欢迎猫兄<a href=""https://www.zhihu.com/people/5f6a0548d644067d949476560aa17d61"" data-hash=""5f6a0548d644067d949476560aa17d61"" class=""member_mention"" data-editable=""true"" data-title=""@黑猫Q形态"" data-tip=""p$b$5f6a0548d644067d949476560aa17d61"">@黑猫Q形态</a>在我的专栏发文。我在学校带的Python课程主要是针对低年级的本科生，他们没有任何编程基础，很多人也没有学习很复…",Yupeng,策略研究/数学PhD/历史、葡萄酒爱好者,https://www.zhihu.com/people/yupeng-jiang/activities,543,14597
你们都是怎么学 Python 的？,给大家推荐一个Python资源。有位名叫骆昊 (jackfrued) 的资深程序员，为大家规划了一条从“从新手到大师”的百天之路。从全方位熟悉语言，到Python的进阶用法，再到天南地北的实战攻略：只要沿着这条路走下去，就都会遇到的。这个项目已经在GitHub摘下8100星…,量子位,有趣的前沿科技→_→ 公众号：QbitAI,https://www.zhihu.com/people/liang-zi-wei-48/activities,304,13977
如何入门 Python 爬虫？,“入门”是良好的动机，但是可能作用缓慢。如果你手里或者脑子里有一个项目，那么实践起来你会被目标驱动，而不会像学习模块一样慢慢学习。 另外如果说知识体系里的每一个知识点是图里的点，依赖关系是边的话，那么这个图一定不是一个有向无环图。因为学习A…,谢科,"Twitter, Cornell 微博：谢科thunder",https://www.zhihu.com/people/xie-ke-41/activities,295,13976
编程零基础应当如何开始学习 Python？,零基础学编程，用python入门是个不错的选择，虽然国内基本上还是以c语言作为入门开发语言，但在国外，已经有比较多的学校使用python作为入门编程语言。 具体怎么选择你的第一门编程语言可以看下图： 好吧，废话说完了，下面是正文，零基础怎么学习python。=…,TheAnswer,,https://www.zhihu.com/people/code123/activities,176,13724
Python 的练手项目有哪些值得推荐？,2019年1月29日更新：重新检查整理了下面推荐的项目教程，有些版本老的、内容过期的都做了更新，现在推荐的都是保证可以使用在线环境完成的，大家可以选择自己感兴趣的练习。Learn by doing才是正确的技术学习姿势。………………………………………………分…,Wayne Shi,Learn by doing ,https://www.zhihu.com/people/sw2016/activities,238,13293
一行代码可以做什么？,C语言上机课，某女同学偷偷吃起牛肉干。 有一粒牛肉干掉到了键盘上，卡在7和8键之间。 女同学就在键盘上抠啊抠啊抠 程序里一行代码变成这个样子 int *pa=&amp;*&amp;*&amp;*&amp;*&amp;*&amp;*&amp;*&amp;*&amp;*&amp;*&amp;*&amp;a; 后来的结局是程序顺利通过编译运行结果正确！,鬼谷弈邪,低眉念法,https://www.zhihu.com/people/xie-jun-47-41/activities,884,12519
25 岁才开始学习编程靠谱吗？40 岁都不晚！,为什么要学编程？可能你有一个伟大的想法要实现，就差一个程序员了。可能你对现在的工作不满意，想在简历上多一个闪亮的加分项，或者干脆成为一个程序员。可能你只是想把自己从乏味的操作中解脱出来，体会一下电脑或手机的高级用法。总之，如果你想获得一种…,知乎用户,,https://www.zhihu.com/people//activities,458,12424
一份Python爬虫电子书,Python爬虫现如今已经越来越吃香了，随意打开一个招聘网站从薪资水平来看，入门的爬虫工程师都能拿到15k以上，爬虫架构相关的都能拿到30k以上，我们还有什么理由去拒绝爬虫呢？当然，除非你跟钱过意不去。 所以秉着让更多想转行学习Python爬虫的的同学快速…,路人甲,微信公众号：路人甲TM，微信：904727147,https://www.zhihu.com/people/sgai/activities,559,12366
零基础应该选择学习 java、php、前端 还是 python？,看了那么多答案，我想说，你们不要误人子弟。请相信我的回答。为了增加自己的说服力，必须亮一下自己的经历了。 清华大学硕士毕业，在北京写过两年Java，在杭州写过三年Python，深入定制过Python虚拟机，现在从事arm上的javascript虚机机的开发。虽然仍然不…,海纳,《自己动手写python虚拟机》作者,https://www.zhihu.com/people/hinus/activities,473,10738
